,has_pyproject_toml,has_dockerfile,has_github_actions,has_tox_ini,has_conda_env_file,has_docker_compose,has_precommit_config,has_setup_py,has_requirements_txt,has_makefile
has_pyproject_toml,1.0,0.11047705487506639,0.42694586895991105,0.10756193268607968,0.015103478134314067,0.07933403458372915,0.3971489635681178,0.07793702293655344,0.2795265132656234,0.15838258720418066
has_dockerfile,0.11047705487506639,1.0,0.13611620683202547,0.05204840397198959,0.0,0.5029683255808141,0.10946071303854735,0.008495654738102713,0.07667743662965922,0.12751326678987981
has_github_actions,0.42694586895991105,0.13611620683202547,1.0,0.14897295963396454,0.02128097883695029,0.08648570692439882,0.3076101034503096,0.07078164499095495,0.12484186857578243,0.1733044202602061
has_tox_ini,0.10756193268607968,0.05204840397198959,0.14897295963396454,1.0,0.02188789127805601,0.04882757169005845,0.15629862104772144,0.1701234480360212,0.06665594384501984,0.14123987776929228
has_conda_env_file,0.015103478134314067,0.0,0.02128097883695029,0.02188789127805601,1.0,0.019644079859258968,0.047820506121358325,0.05360209280244059,0.004762912660392532,0.02164579045804245
has_docker_compose,0.07933403458372915,0.5029683255808141,0.08648570692439882,0.04882757169005845,0.019644079859258968,1.0,0.07398904641718386,0.09845464919199257,0.05371627431611993,0.0640632003882157
has_precommit_config,0.3971489635681178,0.10946071303854735,0.3076101034503096,0.15629862104772144,0.047820506121358325,0.07398904641718386,1.0,0.04918541054375403,0.10648691899970573,0.14947111237090044
has_setup_py,0.07793702293655344,0.008495654738102713,0.07078164499095495,0.1701234480360212,0.05360209280244059,0.09845464919199257,0.04918541054375403,1.0,0.211666938007041,0.13136934211885468
has_requirements_txt,0.2795265132656234,0.07667743662965922,0.12484186857578243,0.06665594384501984,0.004762912660392532,0.05371627431611993,0.10648691899970573,0.211666938007041,1.0,0.06326428630228148
has_makefile,0.15838258720418066,0.12751326678987981,0.1733044202602061,0.14123987776929228,0.02164579045804245,0.0640632003882157,0.14947111237090044,0.13136934211885468,0.06326428630228148,1.0
