feature,mean_abs_shap
test_file_ratio,0.05383258449220954
avg_test_file_len,0.05035870649835332
num_test_files,0.050049665941209305
num_yaml_files,0.04765075572534813
num_dependencies,0.029012039302342602
num_py_files,0.02727834907403547
has_dedicated_test_dir,0.0238609700653814
repo_age_days,0.01458269839136325
num_docs_files,0.014212577918785186
repo_size_kb,0.013119683580441967
open_issues_count,0.012605205669191993
avg_docs_file_len,0.011021015104098543
forks,0.011013515130911316
other_extensions_count,0.009412835912674349
num_files,0.008967075786023862
num_dirs,0.008521499623401744
avg_py_file_len,0.007906567402786299
avg_files_per_dir,0.007661701977006379
num_js_files,0.007326342751659463
has_src_dir,0.007073295294656581
has_docs_dir,0.007029521239357798
stars,0.006589641748304083
num_sh_files,0.00587304394304256
num_json_files,0.004617810930523414
num_html_files,0.004394194241446772
num_css_files,0.004202256735947462
avg_nb_cell_count,0.0030399775587938685
num_ts_files,0.0024432188825919726
has_scripts_dir,0.0021598142055915446
has_license,0.0014901025052024104
num_notebooks,0.00146197610253342
recent_activity_days,0.001177654713784183
